#TAG,NAME IN REPO (or git url),PURPOSE (should be a verb phrase to sound right while installing)
,exfat-utils,"allows management of FAT drives."
,ntfs-3g,"allows accessing NTFS partitions."
,mesa,"is an open-source implementation of the OpenGL specification"
,vulkan-radeon,"is Radeon's vulkan mesa driver"
,pulseaudio-alsa,"is the audio system."
,pulsemixer,"is an audio controller."
,pamixer,"is a command-line audio interface."
,ssh-audit,"is an auditing tool for SSH server and client configuration."
,sshfs,"is a FUSE client based on the SSH File Transfer Protocol."
A,maint,"is a utility to automatically perform Arch Linux system maintenance."
,zip,"creates and modifies zipfiles."
,unrar,"extracts rar's."
,unzip,"unzips zips."
,fzf,"is a fuzzy finder tool."
,highlight,"can highlight code output."
,exa,"is a better ls."
,tree,"is a directory listing program."
,the_silver_searcher,"is a code searching tool similar to Ack, but faster."
,ufw,"is a program for managing a netfilter firewall."
,pass,"stores, retrieves, generates and synchronizes passwords securely."
,mediainfo,"shows audio and video information."
,atool,"manages and gives information about archives."
A,zsh-fast-syntax-highlighting,"provides syntax highlighting in the shell."
A,task-spooler,"queues commands or files for download."
A,htop-vim-git,"is a graphical and colorful system monitor."
A,lf-git,"is an extensive terminal file manager that everyone likes."
,libnotify,"allows desktop notifications."
,ffmpeg,"can record and splice video and audio on the command line."
,youtube-dl,"can download any YouTube video (or playlist or channel) when given the link."
,imagemagick,"is an image viewing/manipulation program."
,neovim,"a tidier vim with some useful features."
,ncdu,"is a disk usage analyzer with an ncurses interface."
,sxiv,"is a minimalist image viewer."
,bc,"is used for a dropdown calculator."
,mpd,"is a lightweight music daemon."
,mpc,"is a terminal interface for mpd."
,mpv,"is the patrician's choice video player."
,ncmpcpp,"a ncurses interface for music with multiple formats and a powerful tag editor."
,spotifyd,"is a lightweight spotify streaming daemon with spotify connect support."
,spotify-tui,"is a spotify client for the terminal written in rust."
,newsboat,"is a terminal RSS client."
,amfora,"is a terminal browser for the Gemini protocol."
,lynx,"is a terminal browser."
,zathura,"is a pdf viewer with vim-like bindings."
,zathura-pdf-mupdf,"allows mupdf pdf compatibility in zathura."
,zathura-ps,"adds ps support to zathura."
,poppler,"manipulates .pdfs and gives .pdf previews and other .pdf functions."
,weechat,"is a fast, light and extensible IRC client with a curses UI."
A,sc-im,"is an Excel-like terminal spreadsheet manager."
A,fontpreview,"is a highly customizable and minimal font previewer written in bash."
,noto-fonts-emoji,"is an emoji font."
,kitty,"is a modern, hackable, featureful, OpenGL-based terminal emulator."
,sway,"is a tiling Wayland compositor and replacement for te i3 window manager."
,swaylock,"is a screen locker for Wayland."
,grim,"is a screenshot utility for wayland."
,slurp,"allows to select a region in a Wayland compositor."
,bemenu-wayland,"is a dynamic menu library and client program inspired by dmenu."
,waybar,"is a highly customizable Wayland bar for Sway and Wlroots based compositors."
,mako,"is a lightweight notification daemon for Wayland."
,wofi,"is a launcher for wlroots-based wayland compositors."
A,swayr,"is a window switcher for sway."
A,wev,"is a tool for debugging wayland events, similar to xev."
A,waynergy-git,"is a synergy client for wlroots wayland compositors."
A,gtk-theme-arc-gruvbox-git,"gives the dark GTK theme used in LARBS."
,torbrowser-launcher,"allows to securely download, verify, install, and launch Tor Browser in Liux."
,firefox,"is the web broser from Mozilla."
,firefox-developer-edition,"is the developer edition of the popular Firefox web browser."
A,brave-bin,"is an elegant browser with built-in adblocking, tor and other features."
A,zotero,"is a tool to collect, organize, cite and share your research sources."
